                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.794,                 1.3761,                 1.1446,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00066627,             0.00066627,             0.00066627
                      2,                 1.8795,                 1.3663,                 1.1947,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012999,              0.0012999,              0.0012999
                      3,                 1.8142,                 1.2936,                 1.1596,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019006,              0.0019006,              0.0019006
                      4,                 1.7333,                 1.2387,                 1.1347,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.6987,                 1.1425,                 1.1151,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0018515,              0.0018515,              0.0018515
                      6,                 1.5744,                 1.0392,                 1.0884,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      7,                  1.562,                 1.0021,                 1.0754,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0017525,              0.0017525,              0.0017525
                      8,                 1.5116,                0.93013,                 1.0561,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                      9,                  1.492,                0.92475,                 1.0456,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0016535,              0.0016535,              0.0016535
                     10,                 1.4463,                0.87077,                 1.0318,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     11,                 1.4113,                 0.8316,                 1.0269,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0015545,              0.0015545,              0.0015545
                     12,                 1.4257,                0.85259,                 1.0349,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                     13,                 1.3812,                0.80897,                 1.0117,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0014555,              0.0014555,              0.0014555
                     14,                 1.3762,                0.80458,                 1.0082,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     15,                 1.3604,                0.77401,                  1.009,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013565,              0.0013565,              0.0013565
                     16,                 1.3261,                0.74911,                0.99574,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                     17,                  1.308,                0.74116,                0.99226,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0012575,              0.0012575,              0.0012575
                     18,                 1.2921,                0.71936,                0.98487,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     19,                 1.2786,                0.71338,                0.98408,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011585,              0.0011585,              0.0011585
                     20,                 1.2613,                0.68717,                0.97622,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     21,                 1.2594,                0.68163,                0.97577,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010595,              0.0010595,              0.0010595
                     22,                 1.2384,                0.67543,                0.97255,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     23,                 1.2275,                0.66676,                0.96013,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0009605,              0.0009605,              0.0009605
                     24,                 1.2225,                0.64281,                0.96452,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     25,                 1.2003,                0.64131,                0.95458,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0008615,              0.0008615,              0.0008615
                     26,                 1.1959,                0.63849,                0.95455,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     27,                 1.1771,                0.62351,                0.94934,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0007625,              0.0007625,              0.0007625
                     28,                 1.1436,                0.59879,                0.94128,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     29,                 1.1626,                0.61118,                0.94563,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0006635,              0.0006635,              0.0006635
                     30,                  1.129,                0.57994,                0.93892,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     31,                  1.096,                 0.5539,                0.92371,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0005645,              0.0005645,              0.0005645
                     32,                 1.0809,                0.53662,                0.92278,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     33,                 1.0409,                0.52175,                 0.9068,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0004655,              0.0004655,              0.0004655
                     34,                 1.0463,                0.51359,                0.90875,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     35,                  1.036,                0.51546,                 0.9112,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0003665,              0.0003665,              0.0003665
                     36,                 1.0209,                0.49186,                0.90722,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000317,               0.000317,               0.000317
                     37,                 1.0081,                0.47603,                0.89981,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0002675,              0.0002675,              0.0002675
                     38,                0.99726,                0.48631,                0.89603,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     39,                0.97561,                0.46858,                0.89133,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0001685,              0.0001685,              0.0001685
                     40,                0.95894,                0.45699,                0.88615,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.000119,               0.000119,               0.000119
